OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,METAR,LAT,LON,ID,GRIDCODE,CLIMATE_ID
843,843,801,0.000000000000000,1,KTWM,47.049100000000003,-91.745199999999997,801,42,Dfb
844,844,801,0.000000000000000,1,KELO,47.824599999999997,-91.830699999999993,801,42,Dfb
845,845,801,0.000000000000000,1,KCKC,47.838299999999997,-90.382900000000006,801,42,Dfb
846,846,801,0.000000000000000,1,KCOQ,46.701099999999997,-92.503600000000006,801,42,Dfb
847,847,801,0.000000000000000,1,KCQM,47.821800000000003,-92.690600000000003,801,42,Dfb
848,848,801,0.000000000000000,1,KEVM,47.425100000000000,-92.498099999999994,801,42,Dfb
849,849,801,0.000000000000000,1,KMZH,46.418599999999998,-92.804800000000000,801,42,Dfb
850,850,801,0.000000000000000,1,KGPZ,47.209299999999999,-93.509900000000002,801,42,Dfb
851,851,801,0.000000000000000,1,KHIB,47.386600000000001,-92.838999999999999,801,42,Dfb
852,852,801,0.000000000000000,1,KDLH,46.842100000000002,-92.193600000000004,801,42,Dfb
853,853,801,0.000000000000000,1,KCDD,48.266599999999997,-92.483500000000006,801,42,Dfb
854,854,801,0.000000000000000,1,KHZX,46.618800000000000,-93.309799999999996,801,42,Dfb
855,855,801,0.000000000000000,1,KORB,48.015900000000002,-92.856099999999998,801,42,Dfb
856,856,801,0.000000000000000,1,KRST,43.908299999999997,-92.500000000000000,801,42,Dfb
857,857,836,0.000000000000000,1,KTOB,44.018000000000001,-92.831500000000005,836,41,Dfa
858,858,836,0.000000000000000,1,KMKT,44.222799999999999,-93.919300000000007,836,41,Dfa
859,859,836,0.000000000000000,1,KJYG,43.986300000000000,-94.557900000000004,836,41,Dfa
860,860,617,0.000000000000000,1,KMWM,43.913400000000003,-95.109399999999994,617,42,Dfb
861,861,836,0.000000000000000,1,KACQ,44.073500000000003,-93.552899999999994,836,41,Dfa
862,862,836,0.000000000000000,1,KMML,44.451700000000002,-95.824399999999997,836,41,Dfa
863,863,836,0.000000000000000,1,KDVP,43.986800000000002,-95.782600000000002,836,41,Dfa
864,864,836,0.000000000000000,1,KTKC,44.249099999999999,-95.607299999999995,836,41,Dfa
865,865,836,0.000000000000000,1,KPQN,43.983300000000000,-96.300299999999993,836,41,Dfa
866,866,836,0.000000000000000,1,KCNB,44.728999999999999,-96.266000000000005,836,41,Dfa
867,867,801,0.000000000000000,1,KBDH,45.116999999999997,-95.129300000000001,801,42,Dfb
868,868,801,0.000000000000000,1,KMOX,45.566000000000003,-95.967200000000005,801,42,Dfb
869,869,801,0.000000000000000,1,KAQP,45.227499999999999,-96.004300000000001,801,42,Dfb
870,870,801,0.000000000000000,1,KETH,45.780500000000004,-96.543899999999994,801,42,Dfb
871,871,801,0.000000000000000,1,K8D3,45.670800000000000,-96.996200000000002,801,42,Dfb
872,872,801,0.000000000000000,1,KVVV,45.305700000000002,-96.424400000000006,801,42,Dfb
873,873,801,0.000000000000000,1,KBBB,45.331899999999997,-95.650599999999997,801,42,Dfb
874,874,836,0.000000000000000,1,KDXX,44.986400000000003,-96.177800000000005,836,41,Dfa
875,875,836,0.000000000000000,1,KGDB,44.753300000000003,-95.555999999999997,836,41,Dfa
876,876,836,0.000000000000000,1,KMVE,44.969099999999997,-95.710300000000004,836,41,Dfa
877,877,801,0.000000000000000,1,KY63,45.985999999999997,-95.992000000000004,801,42,Dfb
878,878,801,0.000000000000000,1,KD39,45.707000000000001,-94.933000000000007,801,42,Dfb
879,879,801,0.000000000000000,1,KAXN,45.866300000000003,-95.394700000000000,801,42,Dfb
880,880,801,0.000000000000000,1,KLXL,45.949399999999997,-94.347099999999998,801,42,Dfb
881,881,801,0.000000000000000,1,KGHW,45.643900000000002,-95.320400000000006,801,42,Dfb
882,882,801,0.000000000000000,1,K14Y,45.899000000000001,-94.873999999999995,801,42,Dfb
883,883,801,0.000000000000000,1,KADC,46.450299999999999,-95.210999999999999,801,42,Dfb
884,884,801,0.000000000000000,1,KBRD,46.401800000000001,-94.135599999999997,801,42,Dfb
885,885,801,0.000000000000000,1,KXVG,46.989899999999999,-94.203599999999994,801,42,Dfb
